Core genome analysis
--------------------

Parameters:
Min % identity: 70
Min % alignment: 50
BLASTN word size: 20
Core threshold (percentage of isolates that contain locus): 90%

Locus	Sequence length	Genome position	Isolate frequency	Isolate percentage	Core
NMC0741	717	759241	21	63.6	-
NMC0742	756	759967	22	66.7	-
NMC0743	1383	760742	30	90.9	Y
NMC0744	510	762287	29	87.9	-
NMC0745	1416	762915	31	93.9	Y
NMC0746	324	764561	13	39.4	-
NMC0747	579	765187	29	87.9	-
NMC0748	279	765818	12	36.4	-
NMC0749	444	766089	21	63.6	-
NMC0750	1968	766741	33	100.0	Y
NMC0751	621	768772	31	93.9	Y
NMC0752	321	769466	17	51.5	-
NMC0753	1017	769954	26	78.8	-
NMC0754	1227	771033	32	97.0	Y
NMC0755	636	772520	33	100.0	Y
NMC0756	666	773355	12	36.4	-
NMC0757	759	774075	33	100.0	Y
NMC0758	891	774858	30	90.9	Y
NMC0759	567	775768	15	45.5	-
NMC0760	777	776385	18	54.5	-
NMC0761	651	777216	26	78.8	-
NMC0762	1041	777878	31	93.9	Y
NMC0763	1380	779097	30	90.9	Y
NMC0764	1152	780811	26	78.8	-
NMC0765	1305	782060	33	100.0	Y
NMC0766	840	783751	27	81.8	-
NMC0767	648	784805	33	100.0	Y
NMC0768	741	785978	33	100.0	Y
NMC0769	972	786773	31	93.9	Y
NMC0771	1236	787781	3	9.1	-
NMC0772	1119	789018	3	9.1	-
NMC0773	1005	790177	33	100.0	Y
NMC0774	2316	791245	30	90.9	Y
NMC0775	303	793544	18	54.5	-
NMC0776	204	794089	33	100.0	Y
NMC0777	1332	794589	33	100.0	Y
NMC0778	519	796063	27	81.8	-
NMC0779	747	796616	13	39.4	-
NMC0780	1701	797414	33	100.0	Y
NMC0781	1347	799483	27	81.8	-
NMC0782	327	800974	8	24.2	-
NMC0784	954	801404	33	100.0	Y
NMC0785	1200	802496	7	21.2	-
NMC0788	705	803887	12	36.4	-
NMC0789	567	804655	32	97.0	Y
NMC0790	417	805287	14	42.4	-
NMC0791	900	805765	30	90.9	Y
NMC0792	1458	806695	32	97.0	Y
NMC0793	630	808302	19	57.6	-
NMC0794	1296	808932	32	97.0	Y
NMC0795	666	810354	13	39.4	-
NMC0796	537	811292	2	6.1	-
NMC0798	201	811996	2	6.1	-
NMC0799	294	812437	2	6.1	-
NMC0800	366	812788	2	6.1	-
NMC0801	546	813135	2	6.1	-
NMC0802	297	813843	5	15.2	-
NMC0803	291	814381	5	15.2	-
NMC0804	249	814991	2	6.1	-
NMC0805	369	815285	0	0.0	-
NMC0806	396	815999	4	12.1	-
NMC0807	870	816437	11	33.3	-
NMC0808	924	817471	19	57.6	-
NMC0809	642	818472	25	75.8	-
NMC0810	792	819168	31	93.9	Y
NMC0811	792	820452	28	84.8	-
NMC0812	837	821366	32	97.0	Y
NMC0813	1851	822361	12	36.4	-
NMC0814	639	824294	12	36.4	-
NMC0815	846	824942	19	57.6	-
NMC0816	984	826205	30	90.9	Y
NMC0817	573	827255	33	100.0	Y
NMC0818	1170	827952	12	36.4	-
NMC0819	1527	829269	27	81.8	-
NMC0820	1074	830852	30	90.9	Y
NMC0821	861	831922	28	84.8	-
NMC0822	837	833037	30	90.9	Y
NMC0823	333	834164	18	54.5	-
NMC0824	510	834827	2	6.1	-
NMC0825	588	835908	30	90.9	Y
NMC0826	1407	836658	29	87.9	-
NMC0827	720	838328	12	36.4	-
NMC0828	618	839065	12	36.4	-
NMC0829	942	839679	12	36.4	-
NMC0830	600	840599	11	33.3	-
NMC0831	489	841188	11	33.3	-
NMC0832	483	843353	15	45.5	-
NMC0833	483	843948	19	57.6	-
NMC0834	1188	844506	32	97.0	Y
NMC0835	780	845955	28	84.8	-
NMC0836	1197	847266	3	9.1	-
NMC0837	381	848617	3	9.1	-
NMC0838	189	849043	2	6.1	-
NMC0839	357	849556	3	9.1	-
NMC0840	918	850780	2	6.1	-
NMC0841	285	851755	3	9.1	-
NMC0842	192	852101	2	6.1	-
NMC0843	294	852295	2	6.1	-
NMC0844	261	852585	1	3.0	-
NMC0845	216	852881	1	3.0	-
NMC0846	855	853168	4	12.1	-
NMC0847	360	854047	4	12.1	-
NMC0848	201	854474	1	3.0	-
NMC0849	525	854905	1	3.0	-
NMC0850	717	855433	3	9.1	-
NMC0852	348	856549	0	0.0	-
NMC0853	2847	857011	0	0.0	-
NMC0854	210	859874	0	0.0	-
NMC0855	387	860086	1	3.0	-
NMC0856	255	860459	2	6.1	-
NMC0857	1563	860722	2	6.1	-
NMC0858	1884	862274	2	6.1	-
NMC0859	228	864215	0	0.0	-
NMC0860	303	864435	1	3.0	-
NMC0861	378	864760	0	0.0	-
NMC0862	642	865169	0	0.0	-
NMC0863	312	865874	0	0.0	-
NMC0864	273	866233	1	3.0	-
NMC0865	3219	866498	0	0.0	-
NMC0866	270	869738	1	3.0	-
NMC0867	723	870067	1	3.0	-
NMC0868	756	870786	1	3.0	-
NMC0869	723	871538	0	0.0	-
NMC0870	4266	872396	1	3.0	-
NMC0871	447	876732	0	0.0	-
NMC0872	207	877195	3	9.1	-
NMC0873	411	877430	0	0.0	-
NMC0874	698	877904	1	3.0	-
NMC0876	198	878589	0	0.0	-
NMC0877	474	878740	0	0.0	-
NMC0878	510	879225	2	6.1	-
NMC0879	348	879787	3	9.1	-
NMC0880	237	880136	1	3.0	-
NMC0881	651	880731	1	3.0	-
NMC0882	369	881660	1	3.0	-
NMC0883	159	882025	2	6.1	-
NMC0884	1008	882572	24	72.7	-
NMC0885	1006	883620	0	0.0	-
NMC0887	1263	884729	0	0.0	-
NMC0888	2097	885993	0	0.0	-
NMC0889	336	888125	0	0.0	-
NMC0890	420	888453	0	0.0	-
NMC0891	1149	888876	0	0.0	-
NMC0892	117	890118	0	0.0	-
NMC0893	204	890200	0	0.0	-
NMC0895	645	890446	0	0.0	-
NMC0896	975	891437	24	72.7	-
NMC0897	2226	893798	20	60.6	-
NMC0899	1116	896456	11	33.3	-
NMC0900	459	897736	19	57.6	-
NMC0901	822	898313	25	75.8	-
NMC0902	447	899185	23	69.7	-
NMC0903	787	901047	3	9.1	-
NMC0904	966	902518	8	24.2	-
NMC0905	936	904126	19	57.6	-
NMC0906	1197	905118	27	81.8	-
NMC0907	876	906323	31	93.9	Y
NMC0908	1410	907487	33	100.0	Y
NMC0909	753	908958	33	100.0	Y
NMC0910	489	909776	12	36.4	-
NMC0911	720	910269	14	42.4	-
NMC0912	942	910992	24	72.7	-
NMC0913	1374	912312	19	57.6	-
NMC0915	561	913923	33	100.0	Y
NMC0916	846	914533	11	33.3	-
NMC0917	591	915495	29	87.9	-
NMC0918	1122	916073	32	97.0	Y
NMC0919	126	917661	21	63.6	-
NMC0920	276	917786	15	45.5	-
NMC0921	879	918261	20	60.6	-
NMC0922	2277	919277	22	66.7	-
NMC0923	738	921832	33	100.0	Y
NMC0924	1404	922818	31	93.9	Y
NMC0925	378	924500	16	48.5	-
NMC0926	327	924886	25	75.8	-
NMC0927	1776	925203	33	100.0	Y
NMC0928	732	927075	29	87.9	-
NMC0929	249	927810	19	57.6	-
NMC0930	1284	928170	30	90.9	Y
NMC0931	2829	929658	33	100.0	Y
NMC0932	1242	932586	32	97.0	Y
NMC0933	1434	934192	33	100.0	Y
NMC0934	288	935750	24	72.7	-
NMC0935	1167	936137	18	54.5	-
NMC0936	891	937314	18	54.5	-
NMC0938	330	938439	17	51.5	-
NMC0939	645	939090	0	0.0	-
NMC0940	2055	939748	0	0.0	-
NMC0941	2847	941817	33	100.0	Y
NMC0942	798	944818	26	78.8	-
NMC0944	2295	947278	20	60.6	-
NMC0947	591	949976	26	78.8	-
NMC0948	1059	950631	26	78.8	-
NMC0949	174	951841	5	15.2	-
NMC0950	1035	952467	5	15.2	-
NMC0951	345	953492	5	15.2	-
NMC0952	198	953841	3	9.1	-
NMC0953	285	954046	5	15.2	-
NMC0954	279	954337	4	12.1	-
NMC0955	288	954773	2	6.1	-
NMC0956	441	955002	2	6.1	-
NMC0957	561	955953	12	36.4	-
NMC0958	1386	956721	27	81.8	-
NMC0959	384	958172	14	42.4	-
NMC0960	1542	958559	28	84.8	-
NMC0961	834	960393	23	69.7	-
NMC0962	1242	961271	14	42.4	-
NMC0963	1581	962677	33	100.0	Y
NMC0964	957	964856	10	30.3	-
NMC0965	435	965966	2	6.1	-
NMC0966	438	966372	3	9.1	-
NMC0967	546	967117	10	30.3	-
NMC0969	138	967895	7	21.2	-
NMC0970	237	968035	11	33.3	-
NMC0971	411	968252	8	24.2	-
NMC0972	159	968706	8	24.2	-
NMC0973	171	968909	4	12.1	-
NMC0974	219	969092	4	12.1	-
NMC0975	173	969307	8	24.2	-
NMC0976	966	969503	8	24.2	-
NMC0977	1008	970767	24	72.7	-
NMC0978	1770	971907	1	3.0	-
NMC0980	207	975798	14	42.4	-
NMC0981	1092	976440	25	75.8	-
NMC0982	684	977666	26	78.8	-
NMC0983	372	978369	12	36.4	-
NMC0984	1692	979035	30	90.9	Y
NMC0985	3921	981164	33	100.0	Y
NMC0986	1026	985137	31	93.9	Y
NMC0988	1008	986593	24	72.7	-
NMC0989	806	987853	6	18.2	-
NMC0992	639	988668	3	9.1	-
NMC0993	876	989615	8	24.2	-
NMC0995	297	990535	5	15.2	-
NMC0996	156	990837	4	12.1	-
NMC0997	378	991130	3	9.1	-
NMC0998	246	991536	0	0.0	-
NMC0999	93	991867	4	12.1	-
NMC1000	912	992071	1	3.0	-
NMC1001	483	992979	2	6.1	-
NMC1002	504	993551	9	27.3	-
NMC1005	411	994491	3	9.1	-
NMC1006	750	994906	4	12.1	-
NMC1007	606	996397	17	51.5	-
NMC1008	966	997069	8	24.2	-
NMC1009	1056	998811	25	75.8	-
NMC1010	483	999972	12	36.4	-
NMC1011	1137	1000501	33	100.0	Y
NMC1012	546	1001634	4	12.1	-
NMC1013	1476	1002176	33	100.0	Y
NMC1014	366	1003762	11	33.3	-
NMC1015	1926	1004148	33	100.0	Y
NMC1016	645	1006077	26	78.8	-
NMC1017	1251	1006812	33	100.0	Y
NMC1018	1776	1008543	2	6.1	-
NMC1020	228	1010889	12	36.4	-
NMC1021	219	1011092	21	63.6	-
NMC1022	975	1011469	29	87.9	-
NMC1024	846	1012689	28	84.8	-
NMC1026	603	1013622	23	69.7	-
NMC1027	357	1014280	14	42.4	-
NMC1028	537	1014670	14	42.4	-
NMC1029	360	1016250	12	36.4	-
NMC1030	681	1016638	13	39.4	-
NMC1031	3033	1017483	12	36.4	-
NMC1032	1263	1020740	12	36.4	-
NMC1033	1110	1022015	11	33.3	-
NMC1034	1554	1023610	33	100.0	Y
NMC1035	663	1025363	17	51.5	-
NMC1036	852	1026108	22	66.7	-
NMC1037	1131	1027032	29	87.9	-
NMC1038	897	1028332	29	87.9	-
NMC1039	669	1031085	26	78.8	-
NMC1040	732	1031750	31	93.9	Y
NMC1041	618	1032523	24	72.7	-
NMC1042	180	1033116	11	33.3	-
NMC1044	900	1033495	4	12.1	-
NMC1045	252	1034438	3	9.1	-
NMC1046	1980	1034691	14	42.4	-
NMC1048	915	1036706	12	36.4	-
NMC1049	291	1037686	5	15.2	-
NMC1050	126	1037963	8	24.2	-
NMC1051	174	1038085	8	24.2	-
NMC1052	168	1038251	8	24.2	-
NMC1053	228	1038482	0	0.0	-
NMC1054	519	1038724	9	27.3	-
NMC1055	966	1039375	8	24.2	-
NMC1056	630	1040551	3	9.1	-
NMC1057	561	1041177	6	18.2	-
NMC1058	1974	1041748	6	18.2	-
NMC1059	606	1045258	3	9.1	-
NMC1060	297	1045842	3	9.1	-
NMC1062	1144	1046454	30	90.9	Y
NMC1063	648	1048039	12	36.4	-
NMC1065	372	1048683	12	36.4	-
NMC1066	672	1049061	15	45.5	-
NMC1067	720	1049897	32	97.0	Y
NMC1068	1314	1050699	16	48.5	-
NMC1069	873	1052409	25	75.8	-
NMC1070	2019	1053296	33	100.0	Y
NMC1071	564	1055637	11	33.3	-
NMC1072	516	1056483	11	33.3	-
NMC1073	342	1057053	32	97.0	Y
NMC1074	588	1057681	11	33.3	-
NMC1076	198	1058481	22	66.7	-
NMC1077	402	1058746	20	60.6	-
NMC1078	960	1059358	30	90.9	Y
NMC1080	1338	1060358	12	36.4	-
NMC1081	786	1061769	12	36.4	-
NMC1082	237	1062605	12	36.4	-
NMC1083	354	1063023	4	12.1	-
NMC1084	306	1063388	12	36.4	-
NMC1085	1377	1063755	33	100.0	Y
NMC1087	1251	1065140	33	100.0	Y
NMC1088	729	1066374	12	36.4	-
NMC1089	240	1067226	11	33.3	-
NMC1090	1860	1067748	33	100.0	Y
NMC1091	1770	1069780	21	63.6	-
NMC1092	1815	1071576	4	12.1	-
NMC1093	1287	1073387	3	9.1	-
NMC1094	924	1074712	20	60.6	-
NMC1095	735	1075673	4	12.1	-
NMC1096	1452	1076423	3	9.1	-
NMC1097	657	1078324	17	51.5	-
NMC1098	891	1079045	12	36.4	-
NMC1099	1812	1080205	33	100.0	Y
NMC1102	2376	1083004	33	100.0	Y
NMC1103	1464	1085718	33	100.0	Y
NMC1104	2559	1087328	29	87.9	-
NMC1106	321	1089935	18	54.5	-
NMC1107	474	1090579	32	97.0	Y
NMC1108	465	1091080	29	87.9	-
NMC1110	1071	1092007	33	100.0	Y
NMC1111	573	1092983	26	78.8	-
NMC1112	276	1093608	12	36.4	-
NMC1113	1071	1094068	17	51.5	-
NMC1114	948	1095385	32	97.0	Y
NMC1115	420	1096347	12	36.4	-
NMC1116	660	1096835	21	63.6	-
NMC1117	534	1097553	9	27.3	-
NMC1118	450	1098201	5	15.2	-
NMC1120	957	1099113	10	30.3	-
NMC1121	93	1100551	2	6.1	-
NMC1122	150	1100666	2	6.1	-
NMC1123	156	1100906	0	0.0	-
NMC1124	324	1101279	1	3.0	-
NMC1125	516	1101647	12	36.4	-
NMC1126	1923	1102628	33	100.0	Y
NMC1127	432	1104627	12	36.4	-
NMC1128	1467	1105037	33	100.0	Y
NMC1129	435	1106496	19	57.6	-
NMC1130	270	1106989	32	97.0	Y
NMC1131	2451	1107440	33	100.0	Y
NMC1132	996	1110249	17	51.5	-
NMC1133	1746	1111272	12	36.4	-
NMC1134	687	1113085	29	87.9	-
NMC1135	1248	1113773	32	97.0	Y
NMC1136	291	1115213	12	36.4	-
NMC1137	621	1115559	20	60.6	-
NMC1138	1539	1116243	12	36.4	-
NMC1139	375	1117836	12	36.4	-
NMC1140	1629	1118360	33	100.0	Y
NMC1142	1254	1120060	31	93.9	Y
NMC1143	309	1121536	20	60.6	-
NMC1144	1032	1121926	27	81.8	-
NMC1145	729	1122980	27	81.8	-
NMC1146	435	1123854	12	36.4	-
NMC1147	864	1124301	25	75.8	-
NMC1148	705	1125172	23	69.7	-
NMC1149	579	1125952	16	48.5	-
NMC1150	1773	1126772	10	30.3	-
NMC1151	657	1128541	26	78.8	-
NMC1152	1035	1129671	33	100.0	Y
NMC1154	678	1131464	12	36.4	-
NMC1155	594	1132134	22	66.7	-
NMC1156	1015	1132895	9	27.3	-
NMC1157	1338	1134131	33	100.0	Y
NMC1158	327	1135776	8	24.2	-
NMC1159	1311	1136390	31	93.9	Y
NMC1160	486	1137949	5	15.2	-
NMC1161	588	1138427	4	12.1	-
NMC1162	954	1139484	4	12.1	-
NMC1163	1512	1140612	13	39.4	-
NMC1164	372	1142375	14	42.4	-
NMC1165	1410	1142819	33	100.0	Y
NMC1166	795	1144274	12	36.4	-
NMC1168	777	1145256	33	100.0	Y
NMC1170	2511	1146700	26	78.8	-
NMC1171	1179	1149168	28	84.8	-
NMC1172	1305	1150351	12	36.4	-
NMC1173	726	1151784	33	100.0	Y
NMC1174	678	1152582	17	51.5	-
NMC1175	1350	1153382	29	87.9	-
NMC1176	1410	1154991	33	100.0	Y
NMC1178	306	1156446	10	30.3	-
NMC1179	642	1156813	33	100.0	Y
NMC1180	1270	1157624	6	18.2	-
NMC1181	732	1158909	6	18.2	-
NMC1182	1071	1159674	33	100.0	Y
NMC1183	564	1160907	28	84.8	-
NMC1185	1398	1161930	29	87.9	-
NMC1186	876	1163399	20	60.6	-
NMC1188	723	1164276	10	30.3	-
NMC1189	480	1165020	15	45.5	-
NMC1190	378	1165560	17	51.5	-
NMC1191	867	1165969	21	63.6	-
NMC1192	960	1166933	33	100.0	Y
NMC1193	2940	1167986	8	24.2	-
NMC1194	1975	1170938	1	3.0	-
NMC1195	558	1173028	9	27.3	-
NMC1196	927	1173650	33	100.0	Y
NMC1197	594	1174564	24	72.7	-
NMC1198	558	1175111	27	81.8	-
NMC1199	1116	1175691	2	6.1	-
NMC1200	1098	1176920	13	39.4	-
NMC1201	1632	1178099	12	36.4	-
NMC1202	213	1179830	17	51.5	-
NMC1203	1437	1180672	15	45.5	-
NMC1204	987	1182119	14	42.4	-
NMC1205	1194	1183102	15	45.5	-
NMC1207	1593	1184505	19	57.6	-
NMC1208	2028	1186187	12	36.4	-
NMC1210	2007	1188503	22	66.7	-
NMC1212	1092	1190632	19	57.6	-
NMC1213	1554	1191872	20	60.6	-
NMC1214	4128	1193484	24	72.7	-
NMC1216	384	1197760	32	97.0	Y
NMC1218	843	1198165	31	93.9	Y
NMC1219	441	1199022	12	36.4	-
NMC1220	1287	1199509	33	100.0	Y
NMC1221	279	1200809	12	36.4	-
NMC1222	291	1201128	11	33.3	-
NMC1223	1134	1201643	33	100.0	Y
NMC1225	924	1202990	1	3.0	-
NMC1226	2280	1203936	33	100.0	Y
NMC1229	312	1206744	12	36.4	-
NMC1231	768	1207366	12	36.4	-
NMC1232	843	1208221	17	51.5	-
NMC1233	666	1209100	12	36.4	-
NMC1234	1977	1209944	12	36.4	-
NMC1235	693	1211988	26	78.8	-
NMC1236	1406	1213133	19	57.6	-
NMC1237	657	1214782	26	78.8	-
NMC1238	1713	1215567	33	100.0	Y
NMC1239	315	1217290	25	75.8	-
NMC1240	408	1217954	12	36.4	-
NMC1241	1137	1218482	19	57.6	-
NMC1242	828	1219627	16	48.5	-
NMC1243	1152	1220845	23	69.7	-
NMC1244	426	1222055	19	57.6	-
NMC1245	1095	1222623	31	93.9	Y
NMC1246	798	1223684	18	54.5	-
NMC1247	1266	1224497	31	93.9	Y
NMC1248	615	1225819	29	87.9	-
NMC1250	1314	1226529	32	97.0	Y
NMC1251	2439	1228048	32	97.0	Y
NMC1252	1236	1230685	32	97.0	Y
NMC1253	483	1231972	11	33.3	-
NMC1254	404	1232560	6	18.2	-
NMC1255	747	1233037	33	100.0	Y
NMC1256	807	1233784	14	42.4	-
NMC1257	453	1235378	32	97.0	Y
NMC1258	231	1235847	33	100.0	Y
NMC1259	303	1236084	14	42.4	-
NMC1260	369	1236387	33	100.0	Y
NMC1261	951	1236910	32	97.0	Y
NMC1262	2313	1237849	32	97.0	Y
NMC1263	1887	1240216	32	97.0	Y
NMC1265	1435	1242189	12	36.4	-
NMC1267	717	1243745	29	87.9	-
NMC1268	288	1244642	0	0.0	-
NMC1269	2028	1245041	33	100.0	Y
NMC1270	1485	1247397	27	81.8	-
NMC1271	1806	1249008	14	42.4	-
NMC1273	561	1251141	23	69.7	-
NMC1274	549	1251703	20	60.6	-
NMC1275	456	1252244	15	45.5	-
NMC1276	657	1252709	11	33.3	-
NMC1277	1713	1253428	33	100.0	Y
NMC1278	2664	1255834	33	100.0	Y
NMC1279	1602	1258647	33	100.0	Y
NMC1280	1788	1260325	33	100.0	Y
NMC1281	1539	1262472	16	48.5	-
NMC1282	2124	1264146	15	45.5	-
NMC1283	786	1266539	33	100.0	Y
NMC1284	879	1267505	32	97.0	Y
NMC1285	879	1268423	16	48.5	-
NMC1286	1257	1269337	33	100.0	Y
NMC1287	435	1271689	12	36.4	-
NMC1288	1344	1272172	27	81.8	-
NMC1289	714	1273520	15	45.5	-
NMC1290	300	1274315	20	60.6	-
NMC1291	1446	1274677	33	100.0	Y
NMC1292	933	1276119	14	42.4	-
NMC1293	1431	1277094	33	100.0	Y
NMC1294	1011	1278616	13	39.4	-
NMC1295	633	1279755	30	90.9	Y
NMC1296	771	1281044	33	100.0	Y
NMC1297	1542	1281883	27	81.8	-
NMC1298	1356	1284671	33	100.0	Y
NMC1299	822	1286223	31	93.9	Y
NMC1300	474	1287112	17	51.5	-
NMC1301	333	1287883	30	90.9	Y
NMC1302	918	1288268	32	97.0	Y
NMC1303	1389	1289543	33	100.0	Y
NMC1304	555	1291573	17	51.5	-
NMC1305	561	1292212	12	36.4	-
NMC1306	1197	1293116	22	66.7	-
NMC1307	1245	1294415	32	97.0	Y
NMC1308	372	1295850	30	90.9	Y
NMC1309	960	1296227	33	100.0	Y
NMC1310	2235	1297477	1	3.0	-
NMC1311	2817	1299659	7	21.2	-
NMC1312	1173	1302624	29	87.9	-
NMC1314	447	1304085	28	84.8	-
NMC1315	1215	1304560	31	93.9	Y
NMC1317	387	1306035	32	97.0	Y
NMC1318	321	1306508	28	84.8	-
NMC1319	501	1307091	20	60.6	-
NMC1320	2751	1307689	33	100.0	Y
NMC1321	375	1310625	14	42.4	-
NMC1322	411	1311102	8	24.2	-
NMC1323	192	1311521	7	21.2	-
NMC1325	552	1312043	11	33.3	-
NMC1326	1647	1312608	26	78.8	-
NMC1328	885	1314375	25	75.8	-
NMC1329	987	1315273	27	81.8	-
NMC1330	696	1316240	17	51.5	-
NMC1331	1446	1317215	30	90.9	Y
NMC1332	1836	1319176	30	90.9	Y
NMC1333	702	1321129	25	75.8	-
NMC1334	1042	1322088	30	90.9	Y
NMC1336	1050	1323283	33	100.0	Y
NMC1338	182	1324495	15	45.5	-
NMC1339	561	1324749	3	9.1	-
NMC1340	501	1325895	1	3.0	-
NMC1341	318	1326522	27	81.8	-
NMC1342	2229	1327063	1	3.0	-
NMC1343	654	1329996	18	54.5	-
NMC1344	816	1331255	3	9.1	-
NMC1345	5988	1332087	0	0.0	-
NMC1347	2604	1338602	28	84.8	-
NMC1348	795	1341417	32	97.0	Y
NMC1351	870	1342961	24	72.7	-
NMC1352	543	1343881	30	90.9	Y
NMC1353	240	1344420	16	48.5	-
NMC1354	1011	1344689	31	93.9	Y
NMC1355	1452	1345987	33	100.0	Y
NMC1357	1128	1348134	4	12.1	-
NMC1358	879	1349291	1	3.0	-
NMC1361	1512	1350587	33	100.0	Y
NMC1362	1254	1352253	24	72.7	-
NMC1363	1980	1353781	25	75.8	-
NMC1364	1158	1356569	2	6.1	-
NMC1365	477	1358694	29	87.9	-
NMC1366	1302	1359565	33	100.0	Y
NMC1367	534	1360909	21	63.6	-
NMC1368	1578	1361650	17	51.5	-
NMC1370	1509	1363288	14	42.4	-
NMC1371	780	1364978	28	84.8	-
NMC1372	702	1365754	23	69.7	-
NMC1373	1455	1366452	29	87.9	-
NMC1374	486	1368089	30	90.9	Y
NMC1375	717	1368623	12	36.4	-
NMC1376	669	1369339	17	51.5	-
NMC1378	1977	1370347	33	100.0	Y
NMC1379	2130	1372418	31	93.9	Y
NMC1380	336	1374627	31	93.9	Y
NMC1381	966	1377014	8	24.2	-
NMC1382	1047	1378364	32	97.0	Y
NMC1383	798	1379631	12	36.4	-
NMC1385	2073	1380391	33	100.0	Y
NMC1386	1059	1382716	29	87.9	-
NMC1388	1008	1384387	24	72.7	-
NMC1389	780	1385612	24	72.7	-
NMC1391	1413	1386601	12	36.4	-
NMC1392	1176	1388831	24	72.7	-
NMC1393	549	1390217	18	54.5	-
NMC1394	1497	1390768	32	97.0	Y
NMC1395	1980	1392793	33	100.0	Y
NMC1396	1389	1394920	28	84.8	-
NMC1397	924	1396373	12	36.4	-
NMC1398	525	1397821	26	78.8	-
NMC1400	1386	1398349	22	66.7	-
NMC1401	624	1399842	32	97.0	Y
NMC1402	492	1401610	9	27.3	-
NMC1403	801	1403533	4	12.1	-
NMC1404	732	1405344	17	51.5	-
NMC1405	1509	1406192	33	100.0	Y
NMC1407	342	1408594	16	48.5	-
NMC1408	1011	1408941	33	100.0	Y
NMC1409	2580	1410212	33	100.0	Y
NMC1410	1215	1412878	28	84.8	-
NMC1411	210	1414181	12	36.4	-
NMC1412	807	1414735	21	63.6	-
NMC1413	1266	1415599	19	57.6	-
NMC1414	711	1417271	28	84.8	-
NMC1415	462	1418054	26	78.8	-
NMC1417	483	1418903	29	87.9	-
NMC1418	1248	1419745	12	36.4	-
NMC1419	747	1421248	20	60.6	-
NMC1420	1557	1422011	33	100.0	Y
NMC1422	789	1423935	12	36.4	-
NMC1423	1434	1424832	24	72.7	-
NMC1424	330	1426906	14	42.4	-
NMC1425	381	1427368	11	33.3	-
NMC1426	2082	1428224	30	90.9	Y
NMC1428	2766	1431830	5	15.2	-
NMC1429	1218	1436088	33	100.0	Y
NMC1430	729	1437507	30	90.9	Y
NMC1431	465	1438317	21	63.6	-
NMC1432	777	1438998	30	90.9	Y
NMC1433	855	1440019	33	100.0	Y
NMC1435	1260	1440863	33	100.0	Y
NMC1436	1719	1442214	33	100.0	Y
NMC1437	1458	1444447	11	33.3	-
NMC1438	747	1446841	28	84.8	-
NMC1439	702	1447766	15	45.5	-
NMC1440	672	1448506	29	87.9	-
NMC1441	483	1449254	31	93.9	Y
NMC1442	690	1449768	20	60.6	-
NMC1443	762	1450454	26	78.8	-
NMC1444	1311	1451346	24	72.7	-
NMC1445	189	1452646	21	63.6	-
NMC1446	300	1452831	13	39.4	-
NMC1447	1227	1453451	32	97.0	Y
NMC1448	1842	1455193	31	93.9	Y
NMC1449	471	1457125	19	57.6	-
NMC1450	828	1457666	19	57.6	-
NMC1451	483	1458565	29	87.9	-
NMC1452	318	1459536	12	36.4	-
NMC1453	1368	1459911	23	69.7	-
NMC1454	1945	1461459	2	6.1	-
NMC1455	453	1463876	24	72.7	-
NMC1456	1011	1464377	24	72.7	-
NMC1457	870	1465970	16	48.5	-
NMC1458	561	1466997	10	30.3	-
NMC1459	1146	1468297	32	97.0	Y
NMC1460	621	1469555	26	78.8	-
NMC1461	531	1470209	26	78.8	-
NMC1462	606	1470813	20	60.6	-
NMC1464	2751	1472198	33	100.0	Y
NMC1465	1773	1475094	32	97.0	Y
NMC1466	1977	1477006	33	100.0	Y
NMC1467	975	1479150	24	72.7	-
NMC1468	2832	1481777	12	36.4	-
NMC1469	2178	1484605	12	36.4	-
NMC1470	285	1489378	27	81.8	-
NMC1471	1635	1489911	33	100.0	Y
NMC1472	1671	1491657	30	90.9	Y
NMC1473	1104	1493398	33	100.0	Y
NMC1474	474	1494627	21	63.6	-
NMC1475	384	1495215	17	51.5	-
NMC1477	960	1495910	31	93.9	Y
NMC1478	1722	1496959	33	100.0	Y
NMC1479	774	1498759	22	66.7	-
NMC1480	903	1499575	13	39.4	-
NMC1481	717	1500626	20	60.6	-
NMC1483	423	1501911	29	87.9	-
NMC1485	672	1502451	20	60.6	-
NMC1486	627	1503138	27	81.8	-
NMC1487	807	1503871	20	60.6	-
NMC1488	441	1504936	10	30.3	-
NMC1489	1407	1505439	32	97.0	Y
NMC1490	1116	1507015	31	93.9	Y
NMC1491	1071	1508127	22	66.7	-
NMC1492	2586	1509508	33	100.0	Y
NMC1493	996	1512235	32	97.0	Y
NMC1494	1014	1513454	33	100.0	Y
NMC1495	294	1514547	16	48.5	-
NMC1496	492	1514907	29	87.9	-
NMC1497	1728	1515409	29	87.9	-
NMC1498	654	1518257	23	69.7	-
NMC1499	654	1518989	26	78.8	-
NMC1500	900	1519746	9	27.3	-
NMC1501	1290	1520642	32	97.0	Y
NMC1502	1098	1521977	21	63.6	-
NMC1503	918	1523071	25	75.8	-
NMC1504	870	1524083	15	45.5	-
NMC1505	363	1525230	10	30.3	-
NMC1506	1005	1525623	24	72.7	-
NMC1507	864	1526895	16	48.5	-
NMC1508	1053	1527809	12	36.4	-
NMC1509	564	1529708	22	66.7	-
NMC1511	303	1530498	12	36.4	-
NMC1512	336	1531131	15	45.5	-
